3.5993,8.632,1
2.5756,8.3728,1
4.6672,6.4749,1
4.6369,9.2973,1
4.6998,5.7123,1
3.6447,7.8993,1
4.769,8.8305,1
4.8003,5.3894,1
4.668,7.6615,1
6.3569,7.3014,1
3.8647,8.3023,1
4.3904,8.2179,1
3.5327,7.3524,1
5.4441,7.9673,1
5.7654,7.6475,1
3.3758,5.9597,1
4.4366,7.6475,1
5.9845,7.7998,1
4.6698,4.881,1
4.5747,6.1507,1
4.9871,7.4006,1
5.0356,6.3346,1
3.718,8.2116,1
4.7262,7.1921,1
4.1394,8.5846,1
3.4368,6.1963,1
3.6616,7.0877,1
4.5626,7.5974,1
4.3145,8.439,1
3.7032,7.0665,1
4.9361,9.6187,1
3.928,3.9171,1
5.3902,9.1625,1
5.1793,11.086,1
4.2717,8.2071,1
5.2027,8.3899,1
4.7043,7.8451,1
4.413,8.7506,1
4.85,8.4092,1
4.3397,9.087,1
3.5391,9.016,1
5.1708,6.3568,1
4.7996,8.9356,1
4.0583,6.2884,1
4.7432,8.0222,1
4.562,7.3904,1
3.3982,7.7349,1
2.9425,9.8571,1
4.3862,8.2901,1
2.7106,5.2816,1
4.6822,7.8071,1
3.4654,5.1681,1
4.7578,7.4512,1
3.6056,6.3996,1
3.6314,10.273,1
5.4804,7.9343,1
4.5083,8.4746,1
3.707,8.9059,1
4.6627,6.8565,1
4.2452,7.2518,1
4.1992,5.1018,1
4.2949,6.2685,1
2.8803,7.6836,1
3.3187,8.2213,1
3.5377,6.8269,1
4.9055,7.0528,1
4.4619,8.1614,1
4.7716,8.3145,1
3.9302,7.3234,1
3.2866,8.3733,1
4.82,6.8547,1
5.3677,8.1589,1
4.4189,8.022,1
5.3853,11.915,1
4.6706,9.7931,1
5.4405,8.484,1
3.9987,7.0278,1
4.0724,6.0444,1
4.8756,8.6184,1
5.4432,7.2105,1
4.6453,7.7388,1
5.3508,4.2452,1
4.4915,9.0037,1
3.2378,7.0387,1
3.6015,7.6205,1
5.038,7.8739,1
5.0962,10.245,1
4.5226,7.755,1
4.319,8.597,1
4.8929,8.3961,1
3.9781,7.9314,1
4.5203,8.406,1
